order_id,account_id,account_name,vertical,product_id,product_name,quantity,order_date,use_case
O00230,A0096,GovernmentCo16,government,P0002,Meraki MX250,40,2024-01-13,Public Wi-Fi rollout
O00231,A0034,EducationCo14,education,P0005,Meraki MS120,34,2025-03-10,Online testing infrastructure
O00232,A0045,ManufacturingCo5,manufacturing,P0005,Meraki MS120,15,2023-05-26,Safety camera installation
O00233,A0036,EducationCo16,education,P0008,Meraki MV22,34,2023-06-27,Online testing infrastructure
O00234,A0053,ManufacturingCo13,manufacturing,P0004,Meraki MR36,36,2024-12-22,IoT sensor connectivity
O00235,A0073,RetailCo13,retail,P0006,Meraki MS225,16,2023-07-11,In-store digital signage
O00236,A0003,HealthcareCo3,healthcare,P0002,Meraki MX250,17,2025-01-06,Medical imaging storage
O00237,A0095,GovernmentCo15,government,P0006,Meraki MS225,29,2025-03-04,City surveillance camera
O00238,A0032,EducationCo12,education,P0003,Meraki MR33,49,2024-06-20,Campus wireless expansion
O00239,A0009,HealthcareCo9,healthcare,P0004,Meraki MR36,5,2025-04-07,Remote telehealth setup
O00240,A0097,GovernmentCo17,government,P0007,Meraki MV12,16,2023-09-01,Emergency response network
O00241,A0013,HealthcareCo13,healthcare,P0003,Meraki MR33,10,2024-08-30,HIPAA compliance monitoring
O00242,A0051,ManufacturingCo11,manufacturing,P0003,Meraki MR33,44,2023-06-21,IoT sensor connectivity
O00243,A0063,RetailCo3,retail,P0004,Meraki MR36,28,2023-06-04,Inventory system network
O00244,A0098,GovernmentCo18,government,P0010,Meraki MT10,45,2024-05-26,Secure inter-agency link
O00245,A0087,GovernmentCo7,government,P0006,Meraki MS225,18,2024-01-03,Public Wi-Fi rollout
O00246,A0024,EducationCo4,education,P0010,Meraki MT10,46,2024-01-28,Student device management
O00247,A0045,ManufacturingCo5,manufacturing,P0002,Meraki MX250,14,2023-08-12,Supply chain tracking
O00248,A0042,ManufacturingCo2,manufacturing,P0009,Meraki MV72,24,2023-12-30,Factory floor monitoring
O00249,A0028,EducationCo8,education,P0001,Meraki MX64,35,2024-06-28,Lecture hall streaming
O00250,A0073,RetailCo13,retail,P0005,Meraki MS120,22,2024-05-24,Inventory system network
O00251,A0066,RetailCo6,retail,P0004,Meraki MR36,20,2024-09-15,In-store digital signage
O00252,A0090,GovernmentCo10,government,P0007,Meraki MV12,47,2023-07-11,City surveillance camera
O00253,A0017,HealthcareCo17,healthcare,P0001,Meraki MX64,2,2024-04-22,HIPAA compliance monitoring
O00254,A0036,EducationCo16,education,P0001,Meraki MX64,37,2024-12-15,Lecture hall streaming
O00255,A0072,RetailCo12,retail,P0006,Meraki MS225,34,2025-02-12,In-store digital signage
O00256,A0082,GovernmentCo2,government,P0007,Meraki MV12,44,2023-10-03,Public Wi-Fi rollout
O00257,A0087,GovernmentCo7,government,P0006,Meraki MS225,28,2024-11-23,Public Wi-Fi rollout
O00258,A0033,EducationCo13,education,P0001,Meraki MX64,20,2024-12-02,Campus wireless expansion
O00259,A0012,HealthcareCo12,healthcare,P0003,Meraki MR33,38,2024-10-12,Medical imaging storage
O00260,A0038,EducationCo18,education,P0002,Meraki MX250,50,2024-03-15,Campus wireless expansion
O00261,A0030,EducationCo10,education,P0001,Meraki MX64,8,2024-02-13,Lecture hall streaming
O00262,A0071,RetailCo11,retail,P0007,Meraki MV12,37,2023-06-06,In-store digital signage
O00263,A0051,ManufacturingCo11,manufacturing,P0010,Meraki MT10,34,2024-11-18,Safety camera installation
O00264,A0088,GovernmentCo8,government,P0004,Meraki MR36,33,2024-11-20,Secure inter-agency link
O00265,A0019,HealthcareCo19,healthcare,P0003,Meraki MR33,36,2024-11-09,Medical imaging storage
O00266,A0059,ManufacturingCo19,manufacturing,P0009,Meraki MV72,5,2024-10-26,Supply chain tracking
O00267,A0033,EducationCo13,education,P0005,Meraki MS120,7,2024-05-14,Student device management
O00268,A0001,HealthcareCo1,healthcare,P0010,Meraki MT10,44,2024-08-22,Medical imaging storage
O00269,A0059,ManufacturingCo19,manufacturing,P0010,Meraki MT10,26,2025-04-04,Supply chain tracking
O00270,A0080,RetailCo20,retail,P0001,Meraki MX64,43,2024-04-20,POS security
O00271,A0068,RetailCo8,retail,P0003,Meraki MR33,46,2024-02-23,In-store digital signage
O00272,A0013,HealthcareCo13,healthcare,P0003,Meraki MR33,27,2023-06-02,Remote telehealth setup
O00273,A0003,HealthcareCo3,healthcare,P0010,Meraki MT10,11,2023-12-10,Medical imaging storage
O00274,A0092,GovernmentCo12,government,P0007,Meraki MV12,25,2023-08-23,Emergency response network
O00275,A0032,EducationCo12,education,P0006,Meraki MS225,2,2024-05-18,Student device management
O00276,A0072,RetailCo12,retail,P0003,Meraki MR33,48,2024-07-22,In-store digital signage
O00277,A0086,GovernmentCo6,government,P0007,Meraki MV12,13,2024-09-19,Secure inter-agency link
O00278,A0091,GovernmentCo11,government,P0001,Meraki MX64,24,2024-12-27,Emergency response network
